title,url
Solo Leveling,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7TLK30KJJOwLKPXFl7KY7z
Soul Eater,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7rSDBG8vSfO7VcetFiJLlB
SPY FAMILY,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7PMrPOgx9QzB3PjgDGUoG-
Super Campeones 2002,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6HPInns8Z3hh3PNrsb2UlX
The Apothecary Diaries,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7KjHEGgMGaOFrPkyMOW4kc
The Promised Neverland,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5AEtNLFNO0VRI5UtQSc-Gq
To Be Hero X,https://www.youtube.com/playlist?list=PLvZvtO-L5oh53munL6yr1Q0yK-0AuzbNy
Tokyo Ghoul,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5vxmdRfbj4T2qcIjBF8wS5
Tokyo Revengers,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5qLQrpWKSRAXLkl9J1FQQe
Undead Unluck,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4UN0nH0-oQdQsGePfGRyYG
Vinland Saga,https://www.youtube.com/playlist?list=PLvZvtO-L5oh412e3RnojLzTaS-Nzsk1Vn
Wind Breaker,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5QhVUcs9LJbtEBwtWUPTal
